Time,Intent_box1,Intent_box2,Intent_dummy,Completed_box1,Completed_box2,Completed_dummy
0.00,0.4140,0.4140,0.1720,0,0,0
0.50,0.4140,0.4140,0.1720,0,0,0
1.00,0.4140,0.4140,0.1720,0,0,0
1.52,0.4140,0.4140,0.1720,0,0,0
2.02,0.2705,0.5244,0.2051,0,0,0
2.52,0.4601,0.3230,0.2169,0,0,0
3.04,0.4742,0.2960,0.2298,0,0,0
3.54,0.5088,0.2350,0.2562,0,0,0
4.06,0.7895,0.0711,0.1394,0,0,0
4.56,0.8727,0.0379,0.0894,0,0,0
5.08,0.8600,0.0307,0.1093,0,0,0
5.58,0.7021,0.0535,0.2444,0,0,0
5.78,0.0000,0.1817,0.8183,1,0,0
6.28,0.0000,0.1711,0.8289,1,0,0
6.80,0.0000,0.1308,0.8692,1,0,0
7.32,0.0000,0.2762,0.7238,1,0,0
7.84,0.0000,0.4764,0.5236,1,0,0
8.34,0.0000,0.3549,0.6451,1,0,0
8.84,0.0000,0.3327,0.6673,1,0,0
9.34,0.0000,0.3327,0.6673,1,0,0
9.84,0.0000,0.3327,0.6673,1,0,0
10.34,0.0000,0.4042,0.5958,1,0,0
10.84,0.0000,0.4359,0.5641,1,0,0
11.36,0.0000,0.5835,0.4165,1,0,0
11.88,0.0000,0.4299,0.5701,1,0,0
12.38,0.0000,0.2039,0.7961,1,0,0
12.90,0.0000,0.1732,0.8268,1,0,0
13.42,0.0000,0.4182,0.5818,1,0,0
13.94,0.0000,0.5670,0.4330,1,0,0
14.44,0.0000,0.6718,0.3282,1,0,0
14.96,0.0000,0.7500,0.2500,1,0,0
15.48,0.0000,0.7959,0.2041,1,0,0
15.98,0.0000,0.8159,0.1841,1,0,0
16.50,0.0000,0.8185,0.1815,1,0,0
